Id,SalePrice
1461,115875.30662058828
1462,159239.8807029551
1463,179669.1197617195
1464,196175.16705933222
1465,179227.28782281114
1466,167498.0552004233
1467,176342.9019874972
1468,169856.27437677822
1469,187770.3300461656
1470,121933.87868773189
1471,186525.96673501295
1472,98826.96363432902
1473,100645.06082882454
1474,154725.5103688294
1475,120934.08253682239
1476,382601.29558738356
1477,244892.20758630848
1478,277294.41172916576
1479,263616.95416776487
1480,572716.4619629867
1481,352571.7488695822
1482,208473.91212015902
1483,174941.36254255666
1484,165087.16326741435
1485,184335.7474657715
1486,199276.70422280216
1487,357140.21748904634
1488,234474.77261848206
1489,200268.08887560747
1490,225753.8195324471
1491,190173.4149452036
1492,91601.92818419242
1493,176213.43559837708
1494,278997.3999025243
1495,282457.2939373098
1496,244202.60822733905
1497,185943.40332950774
1498,165233.3104616463
1499,164613.65024456722
1500,163552.11016087033
1501,189610.93228019195
1502,150566.39403344246
1503,302795.21069147415
1504,249641.38475129945
1505,232640.54753173952
1506,198206.85276276106
1507,242643.6229665779
1508,199711.44688753065
1509,160355.90679350414
1510,145410.55331339006
1511,140224.87048923798
1512,170871.15850694597
1513,131825.90679286123
1514,144680.23149479835
1515,173373.0432810121
1516,144949.6497986522
1517,162937.65005880728
1518,133886.6354891187
1519,210386.45682149442
1520,132463.84929197552
1521,130208.11157275106
1522,160282.54834727538
1523,113214.0374770694
1524,127700.68543559415
1525,125511.23803781632
1526,115505.22365776096
1527,108642.1258303448
1528,133587.68698515944
1529,143994.12328466788
1530,170759.37873432875
1531,98216.9528850146
1532,98836.52830717895
1533,147296.08137764578
1534,124118.19752360228
1535,142702.30245559508
1536,116006.40885249825
1537,60076.211119499545
1538,147124.9446061382
1539,179636.6468280024
1540,91753.18547405122
1541,140641.42192620639
1542,135170.65970532433
1543,200293.57281563093
1544,80873.51040117786
1545,105304.62826191046
1546,123179.30169877439
1547,135566.61706585123
1548,134130.4807516884
1549,103131.27533126328
1550,132237.0488219441
1551,114327.84470032761
1552,134142.34238570114
1553,148007.18962455692
1554,115283.93219949694
1555,177468.89324949682
1556,93283.55372608552
1557,114856.71994210592
1558,93917.42925721846
1559,77133.33441403676
1560,131519.4510029948
1561,130832.29532670537
1562,125058.97628449237
1563,118749.9228284528
1564,146649.8650187281
1565,137341.09429621985
1566,240753.80017935336
1567,77001.95897434381
1568,227946.7758335728
1569,143807.66739837363
1570,135320.8648360486
1571,116363.04631320425
1572,148080.80668596594
1573,233229.93004986056
1574,108282.77977157633
1575,218322.280799711
1576,236056.82741221777
1577,185144.72073979102
1578,144972.4830720205
